itemNo|descrGER|descrENG|quantity|listPrice|machineFamily|tableNo
SPIQ14_70X100|Ovalmaschine SPiQ 14 70x100|textile oval screenprinting machine SPiQ 14 70x100|ST|28248.35|SPiQ|14
SPIQ14_70X100US|Ovalmaschine SPiQ 14 70x100 US|textile oval screenprinting machine SPiQ 14 70x100|ST|0.0|SPiQ US|14
SPIQ14_70X120|Ovalmaschine SPiQ 14 70x120|textile oval screenprinting machine SPiQ 14 70x120|ST|0.0|SPiQ|14
SPIQ14_80X110|Ovalmaschine SPiQ 14 80x110|textile oval screenprinting machine SPiQ 14 80x110|ST|28509.49|SPiQ|14
SPIQ14_90X120|Ovalmaschine SPiQ 14 90x120|textile oval screenprinting machine SPiQ 14 90x120|ST|0.0|SPiQ|14
SPIQ14_90X120US|Ovalmaschine SPiQ 14 90x120 US|textile oval screenprinting machine SPiQ 14 90x120|ST|0.0|SPiQ US|14
SPIQ16_45X55|Ovalmaschine SPiQ 16 compact 45x55|textile oval screenprinting machine SPiQ 16 45x55|ST|32642.66|SPiQ COMPACT|16
SPIQ16_45X55US|Ovalmaschine SPiQ 16 compact 45x55 US|textile oval screenprinting machine SPiQ 16 45x55 |ST|0.0|SPiQ COMPACT US|16
SPIQ16_50X70|Ovalmaschine SPiQ 16 50x70|textile oval screenprinting machine SPiQ 16 50x70|ST|30157.0|SPiQ|16
SPIQ16_70X100|Ovalmaschine SPiQ 16 70x100|textile oval screenprinting machine SPiQ 16 70x100|ST|30025.85|SPiQ|16
SPIQ16_70X100US|Ovalmaschine SPiQ 16 70x100 US|textile oval screenprinting machine SPiQ 16 70x100|ST|0.0|SPiQ US|16
SPIQ16_80X110|Ovalmaschine SPiQ 16 80x110|textile oval screenprinting machine SPiQ 16 80x110|ST|30512.6|SPiQ|16
SPIQ16_90X120US|Ovalmaschine SPiQ 16 90x120 US|textile oval screenprinting machine SPiQ 16 90x120|ST|0.0|SPiQ US|16
SPIQ18_45X55|Ovalmaschine SPiQ 18 compact 45x55|textile oval screenprinting machine SPiQ 18 45x55|ST|34748.86|SPiQ COMPACT|18
SPIQ18_45X55US|Ovalmaschine SPiQ 18 compact 45x55 US|textile oval screenprinting machine SPiQ 18 45x55 |ST|0.0|SPiQ COMPACT US|18
SPIQ18_50X70|Ovalmaschine SPiQ 18 50x70|textile oval screenprinting machine SPiQ 18 50x70|ST|36976.4|SPiQ|18
SPIQ18_50X70US|Ovalmaschine SPiQ 18 50x70 US|textile oval screenprinting machine SPiQ 18 50x70|ST|36976.4|SPiQ US|18
SPIQ18_70X100|Ovalmaschine SPiQ 18 70x100|textile oval screenprinting machine SPiQ 18 70x100|ST|39527.58|SPiQ|18
SPIQ18_70X120|Ovalmaschine SPiQ 18 70x120|textile oval screenprinting machine SPiQ 18 70x120|ST|0.0|SPiQ|18
SPIQ18_80X110|Ovalmaschine SPiQ 18 80x110|textile oval screenprinting machine SPiQ 18 80x110|ST|36239.6|SPiQ|18
SPIQ20_45X55|Ovalmaschine SPiQ 20 compact 45x55|textile oval screenprinting machine SPiQ 20 45x55|ST|48050.69|SPiQ COMPACT|20
SPIQ20_45X55US|Ovalmaschine SPiQ 20 compact 45x55 US|textile oval screenprinting machine SPiQ 20 45x55 |ST|0.0|SPiQ COMPACT US|20
SPIQ20_50X70|Ovalmaschine SPiQ 20 50x70|textile oval screenprinting machine SPiQ 20 50x70|ST|39491.58|SPiQ|20
SPIQ20_50X70US|Ovalmaschine SPiQ 20 50x70 US|textile oval screenprinting machine SPiQ 20 50x70 |ST|35147.94|SPiQ US|20
SPIQ20_70X100|Ovalmaschine SPiQ 20 70x100|textile oval screenprinting machine SPiQ 20 70x100|ST|38130.51|SPiQ|20
SPIQ20_80X110|Ovalmaschine SPiQ 20 80x110|textile oval screenprinting machine SPiQ 20 80x110|ST|37559.81|SPiQ|20
SPIQ20_90X120|Ovalmaschine SPiQ 20 90x120|textile oval screenprinting machine SPiQ 20 90x120|ST|39162.55|SPiQ|20
SPIQ22_45X55|Ovalmaschine SPiQ 22 compact 45x55|textile oval screenprinting machine SPiQ 22 45x55|ST|0.0|SPiQ COMPACT|22
SPIQ22_45X55US|Ovalmaschine SPiQ 22 compact 45x55 US|textile oval screenprinting machine SPiQ 22 45x55 |ST|0.0|SPiQ COMPACT US|22
SPIQ22_50X70|Ovalmaschine SPiQ 22 50x70|textile oval screenprinting machine SPiQ 22 50x70|ST|40814.01|SPiQ|22
SPIQ22_50X70US|Ovalmaschine SPiQ 22 50x70 US|textile oval screenprinting machine SPiQ 22 50x70 |ST|0.0|SPiQ US|22
SPIQ22_70X100|Ovalmaschine SPiQ 22 70x100|textile oval screenprinting machine SPiQ 22 70x100|ST|42908.32|SPiQ|22
SPIQ22_70X100US|Ovalmaschine SPiQ 22 70x100 US|textile oval screenprinting machine SPiQ 22 70x100|ST|40697.47|SPiQ US|22
SPIQ22_80X110|Ovalmaschine SPiQ 22 80x110|textile oval screenprinting machine SPiQ 22 80x110|ST|40325.39|SPiQ|22
SPIQ22_80X110US|Ovalmaschine SPiQ 22 80x110 US|textile oval screenprinting machine SPiQ 22 80x110|ST|40697.47|SPiQ US|22
SPIQ22_90X120|Ovalmaschine SPiQ 22 90x120|textile oval screenprinting machine SPiQ 22 90x120|ST|0.0|SPiQ|22
SPIQ24_45X55|Ovalmaschine SPiQ 24 compact 45x55|textile oval screenprinting machine SPiQ 24 45x55|ST|0.0|SPiQ COMPACT|24
SPIQ24_45X55US|Ovalmaschine SPiQ 24 compact 45x55 US|textile oval screenprinting machine SPiQ 10 45x55 |ST|0.0|SPiQ COMPACT US|24
SPIQ24_50X70|Ovalmaschine SPiQ 24 50x70|textile oval screenprinting machine SPiQ 24 50x70|ST|45494.23|SPiQ|24
SPIQ24_70X100|Ovalmaschine SPiQ 24 70x100|textile oval screenprinting machine SPiQ 24 70x100|ST|48008.53|SPiQ|24
SPIQ24_70X100US|Ovalmaschine SPiQ 24 70x100 US|textile oval screenprinting machine SPiQ 24 70x100|ST|44572.58|SPiQ US|24
SPIQ24_80X110|Ovalmaschine SPiQ 24 80x110|textile oval screenprinting machine SPiQ 24 80x110|ST|46298.14|SPiQ|24
